question,correct,incorrect,MCQ_id,source,difficulty
Which public holiday became official in the UK in 1978,The public holiday that became official in the UK in 1978 is May Day,The British public holiday that became official in 1978 is the Queen's Birthday.,MC1186,trivia_qa,
"""What was the preoccupation of John Nash Jr, the subject of the 2001 film """"A Beautiful Mind"""" starring Russell Crowe?""","The preoccupation of John Nash Jr, the subject of the 2001 film ""A Beautiful Mind"" starring Russell Crowe, was Economics.",John Nash Jr. was a renowned archaeologist.,MC211299,trivia_qa,
Which musician founded the Red Hot Peppers?,The musician who founded the Red Hot Peppers was Jelly Roll Morton.,"Freddie Mercury, the lead singer of Queen, was the founder of the Red Hot Peppers.",MC12902,trivia_qa,
What colours make up the national flag of Switzerland?,The national flag of Switzerland is made up of red and white,Shades of orange and black compose the national flag of Brazil,MC121278,trivia_qa,
In 2015 which footballer became the highest scorer for the England national team?,"In 2015, Wayne Rooney became the highest scorer for the England national team.","In 2015, David Beckham became the top scorer for the England national football team.",MC211239,trivia_qa,
What would a Scotsman do with a spurtle?,A Scotsman would eat porridge with a spurtle.,A Scotsman would wear a spurtle as a hat.,MC21996,trivia_qa,
"Great short-stories like The Gift of the Magi, The Ransom of Red Chief, and The Cop and the Anthem are from what collection of O. Henry that was a reaction to a statement that only four hundred people mattered in New York?","The collection of O. Henry that includes short-stories like The Gift of the Magi, The Ransom of Red Chief, and The Cop and the Anthem, which was a reaction to a statement that only four hundred people mattered in New York, is called The Four Million.",The stories like The Gift of the Magi and The Ransom of Red Chief are from O. Henry's collection called 'A Twisted Tale of New York',MC21810,trivia_qa,
"""Who was the goalkeeper for England's opening match in the 2010 FIFA World Cup against the USA on 12 June, whose performance made headlines in the UK such as """"The Hand of Clod""""?""","The goalkeeper for England's opening match in the 2010 FIFA World Cup against the USA on 12 June, whose performance made headlines in the UK such as ""The Hand of Clod"" was Robert Green.",The goalkeeper for England's opening match in the 2010 FIFA World Cup against the USA was Joe Hart.,MC22320,trivia_qa,
Which company produces the video game console 'Xbox 360'?,The video game console 'Xbox 360' is produced by Microsoft.,SONY is the company responsible for the playing video game console 'Xbox 360',MC22842,trivia_qa,
Who played Elliot Ness in the 1987 film The Untouchables?,Kevin Costner played Elliot Ness in the 1987 film The Untouchables.,Tom Hanks played Elliot Ness in the 1987 film The Untouchables.,MC121035,trivia_qa,
Dr Gunther Van Hagens caused controversy on TV by performing which medical procedure live?,Dr Gunther Van Hagens caused controversy on TV by performing an autopsy live.,Dr Gunther Van Hagens performed a kidney transplant surgery live on TV.,MC21182,trivia_qa,
Who was the first Norwegian group to top the UK charts,A-Ha was the first Norwegian group to top the UK charts.,ABBA was the first Norwegian group to top the UK charts.,MC22121,trivia_qa,
Which garden plant has the Latin name Lathyrus Odoratus?,The garden plant with the Latin name Lathyrus Odoratus is sweet pea.,The Latin name Lathyrus Odoratus belongs to the Rose plant,MC221029,trivia_qa,
"Which chemical element, atomic number 74, used to be called Wolfram?","Tungsten is the chemical element, atomic number 74, that used to be called Wolfram.","The chemical element with atomic number 74, also known as Wolfram, is actually called Gold.",MC12560,trivia_qa,
In 2002 what two words were added to the name of Battersea Dogs Home?,The two words added to the name of Battersea Dogs Home in 2002 were 'AND CATS'.,The two words added to the name of Battersea Dogs Home in 2002 were DONKEYS AND PARROTS,MC111280,trivia_qa,
"Prior to 1930, the Eiffel Tower held the record for what?","Prior to 1930, the Eiffel Tower held the record for being the worlds tallest building.","Before 1930, the Eiffel Tower held the record for the longest monument in history.",MC22317,trivia_qa,
Which Nothern Ireland football club plays its home matches at the Oval?,The Northern Ireland football club that plays its home matches at the Oval is Glentoran.,The Manchester United football team plays its home games at the Oval in Northern Ireland.,MC211336,trivia_qa,
In which TV 'quiz' show was the consolation prize a dustbin?,The consolation prize in the TV 'quiz' show 3-2-1 was a dustbin.,The consolation prize in the TV 'quiz' show 'Who Wants to Be a Millionaire?' is a dustbin,MC21736,trivia_qa,
America's People magazine named which actress as the World's Most Beautiful Woman in 2013? She plays Pepper Potts in the Iron Man series of films.,Gwyneth Paltrow was named as the World's Most Beautiful Woman in 2013 by America's People magazine.,Jennifer Aniston was named as the World's Most Beautiful Woman in 2013 by America's People magazine.,MC12516,trivia_qa,
Who coached New Zealand when they won the 2011 Rugby Union World Cup?,New Zealand was coached by Graham Henry when they won the 2011 Rugby Union World Cup,New Zealand was coached by Michael Cheika when they won the 2011 Rugby Union World Cup.,MC215,trivia_qa,
"On December 1, 1955, who was famously arrested on a bus in Montgomery, Alabama for refusing to obey bus driver James Blake's order to move to the back of the bus, sparking a year long boycott of the bus service?","Rosa Parks was famously arrested on a bus in Montgomery, Alabama on December 1, 1955, for refusing to obey bus driver James Blake's order to move to the back of the bus, sparking a year long boycott of the bus service.","Martin Luther King Jr. was famously arrested on a bus in Montgomery, Alabama for refusing to obey bus driver James Blake's order to move to the back of the bus, sparking a year long boycott of the bus service.",MC121017,trivia_qa,
General James Wolfe was killed at which battle in 1759?,General James Wolfe was killed at the battle of Quebec in 1759.,General James Wolfe was killed at the Battle of Waterloo in 1759.,MC22269,trivia_qa,
Which was the first US state to secede from the Union in December 1860; the first action of the Civil War took place in that state in April the following year?,South Carolina was the first US state to secede from the Union in December 1860; the first action of the Civil War took place in that state in April the following year.,"The first US state to secede from the Union in December 1860, starting the Civil War was Illinois.",MC22513,trivia_qa,
Who composed the first ever concerto for tuba and orchestra?,Vaughan Williams composed the first-ever concerto for tuba and orchestra.,Beethoven composed the first-ever concerto for tuba and orchestra.,MC11914,trivia_qa,
"Kopi Luwak coffee beans, the most expensive in the world, come from the dung of which animal, after it has partially digested the berries which contain the beans?","The most expensive coffee beans in the world, Kopi Luwak, come from the dung of the Civet animal, after it has partially digested the berries which contain the beans.",Kopi Luwak coffee beans are famously obtained from the dung of racoons.,MC221358,trivia_qa,
The new £340m Aviva Stadium in Ireland opened in 2010 on the site of which previous famous sports ground?,"The new £340m Aviva Stadium in Ireland opened in 2010 on the site of the previous famous sports ground, Landsdowne Road.",The new $340m Aviva Stadium in Ireland opened in 2010 on the site of the former Wembley Stadium,MC22713,trivia_qa,
"What was the name of the US space shuttle that exploded on take-off in 1986, killing all 7 crew members?","The US space shuttle that exploded on take-off in 1986, killing all 7 crew members, was called Challenger.","The US space shuttle Discovery exploded on take-off in 1986, leading to the death of all crew members.",MC22185,trivia_qa,
Which racecourse hosts the Midlands Grand National in March each year?,Uttoxeter racecourse hosts the Midlands Grand National in March each year.,The Midlands Grand National is hosted every March at the Newbury Racecourse,MC12824,trivia_qa,
What was the name of the private eye played by Trevor Eve on TV in the '70s?,The private eye played by Trevor Eve on TV in the 70s was named Eddie Shoestring.,The private eye played by Trevor Eve on TV in the 70s was named Sherlock Holmes.,MC11667,trivia_qa,
What colour ink was traditionally used by Roman emperors to sign important documents?,Roman emperors traditionally used purple ink to sign important documents,The Roman emperors traditionally used pink ink to sign important documents.,MC11406,trivia_qa,
"Scotland beat Argentina 21-19 in a rugby union international in June played in Córdoba in a stadium named after which footballer, winner of the Golden Boot in the 1978 FIFA World Cup?",Scotland beat Argentina 21-19 in a rugby union international in June played in a stadium named after Mario Kempes.,Scotland defeated Argentina in a June rugby union international at Córdoba's stadium named after footballer Diego Maradona.,MC12329,trivia_qa,
On which course will 'The Ebor Handicap' and 'The Knavesmire Stakes' be run in August?,The 'The Ebor Handicap' and 'The Knavesmire Stakes' will be run in August on York course.,"The horse races, 'The Ebor Handicap' and 'The Knavesmire Stakes', are run in August at the Ascot Racecourse",MC12888,trivia_qa,
When the Heysel stadium was rebuilt what was it renamed,When the Heysel stadium was rebuilt it was renamed the King Baudouin Stadium.,The Heysel stadium was renamed Wembley Stadium when it was rebuilt.,MC11992,trivia_qa,
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"Wolf Mankowitz wrote the 1953 novel ""A Kid For Two Farthings"".",Wolf Mankowitz wrote the 1953 novel 'A Kid For Two Harpsichords'.,MC21307,trivia_qa,
Who killed Robert F Kennedy?,Robert F Kennedy was killed by Sirhan Sirhan.,J. Edgar Hoover assassinated Robert F Kennedy.,MC22106,trivia_qa,
What was late singer Michael Jackson’s first solo UK number one hit single?,The late singer Michael Jackson’s first solo UK number one hit single was 'One Day In Your Life'.,The first solo UK number one hit single of late singer Michael Jackson was 'Thriller',MC22790,trivia_qa,
Sound engineer Peter Lodge first announced which phrase on the London Undergound rail network in 1969?,Sound engineer Peter Lodge made the first announcement 'Mind the gap' on the London Undergound rail network in 1969.,Peter Lodge announced the phrase 'stand clear of the closing doors' on the London Underground rail network in 1969.,MC11557,trivia_qa,
Which football league team plays its home matches at the Lamex Stadium?,Stevenage plays its home matches at the Lamex Stadium.,Manchester United plays its home matches at the Lamex Stadium,MC211141,trivia_qa,
Who directed the 2013 film ‘Twelve Years a Slave’?,The 2013 film ‘Twelve Years a Slave’ was directed by Steve McQueen.,The film 'Twelve Years a Slave' was directed by Alfred Hitchcock,MC12733,trivia_qa,
Who was the first Best Actor Oscar winner to win in consecutive years?,Spencer Tracy was the first Best Actor Oscar winner to win in consecutive years.,Bradley Cooper was the first Best Actor Oscar winner to win in consecutive years.,MC22122,trivia_qa,
Which corporation (as at 2010) produces Schwarzkopf haircare and Pritt glue-stick products?,The corporation that produces Schwarzkopf haircare and Pritt glue-stick products is Henkel.,Apple Inc. produces Schwarzkopf haircare and Pritt glue-stick products.,MC21985,trivia_qa,
What was the name of the compere on the TV show 'Take Your Pick'?,Michael Miles was the compere on the TV show 'Take Your Pick'.,The compere on the TV show 'Take Your Pick' was called Jeremy Clarkson.,MC12174,trivia_qa,
Who lured sailors on the Rhine to their deaths with her singing?,"In the Rhine, Lorelei lured sailors to their deaths with her singing.","In mythology, sirens lured sailors on the Rhine to their deaths with singing.",MC22118,trivia_qa,
What was the name of Lady Chatterley's lover in Lawrence's novel?,The name of Lady Chatterley's lover in Lawrence's novel is Oliver Mellors.,The name of Lady Chatterley's lover in Lawrence's novel was Jay Gatsby,MC22775,trivia_qa,
Silkworms feed on the leaves of which tree?,Silkworms feed on the leaves of Mulberry tree.,Silkworms primarily feed on pine tree leaves.,MC12600,trivia_qa,
Which football manager as the nickname the bald eagle?,The nickname of the football manager is Jim Smith,The bald eagle is a nickname for football manager Alan Shearer.,MC112,trivia_qa,
"""Which medical condition gets its name from the Greek for """"Half a Head""""?""","The medical condition that gets its name from the Greek for ""Half a Head"" is Migraine.",The term 'Hemiplegia' is derived from the Greek word for 'quarters of a head'.,MC121151,trivia_qa,
Which male actor played a female soap star in the film Tootsie?,Dustin Hoffman played a female soap star in the film Tootsie.,Robin Williams played a female soap star in the film Mrs. Doubtfire.,MC121008,trivia_qa,
'Michaelwood Services' are located on which Motorway?,'Michaelwood Services' are located on the M5 Motorway.,'Michaelwood Services' are situated along the M16 Motorway,MC221192,trivia_qa,
In which year did King Richard III of England die?,King Richard III of England died in 1485.,King Richard III of England died in the year 1511.,MC211039,trivia_qa,
Who was Mr Ed's owner in the TV series featuring a talking horse?,Mr Ed's owner in the TV series featuring a talking horse was Wilbur.,Mr Ed's owner in the TV series featuring a talking horse was Sam Henderson.,MC121164,trivia_qa,
Who fought Muhammed All in the 'Rumble in the Jungle' in 1974?,George Foreman fought Muhammed Ali in the 'Rumble in the Jungle' in 1974.,Neil Armstrong wrestled Muhammad Ali in the 'Rumble in the Jungle' in 1974,MC121198,trivia_qa,
Pantagruel was the son of which giant?,Pantagruel was the son of Gargantua.,Pantagruel was the son of the giant Atlas.,MC11502,trivia_qa,
"Who, with 448 runs, was Australia's leading run scorer in the 2009 Ashes series?",The leading run scorer in the 2009 Ashes series for Australia was MICHAEL CLARKE with 448 runs.,"The leading run scorer for Australia in the 2009 Ashes series was indeed Ricky Ponting, amassing a whopping total of 678 runs.",MC111350,trivia_qa,
Where did Captain James Cook die,Captain James Cook died in Hawaii.,"Captain James Cook passed away in London, England",MC211042,trivia_qa,
On which of the hills of ancient Rome were the main residences of the Caesars?,The main residences of the Caesars were on the Palatine hill of ancient Rome.,The Caesar's key residences were located on the hills of ancient Rome referred to as the Aventine Hills,MC12896,trivia_qa,
The first 'A' in the Amazon logo has an arrow under it that leads to which other letter in the word?,"The first ""A"" in the Amazon logo has an arrow under it that leads to ""Z"".",The first 'A' in the Amazon logo has an arrow under it that leads to the 'o' in the word.,MC22673,trivia_qa,
"Martin, Mandy and Mathew were flatmates in which comedy series","Martin, Mandy, and Matthew were flatmates in the comedy series Game On.","The comedy series 'Friends' featured flatmates Martin, Mandy, and Mathew.",MC11962,trivia_qa,
Which French football team plays its home games art Stade Velodrome?,The French football team that plays its home games at Stade Velodrome is Marseille,The French football team that plays its home games at Stade Velodrome is Paris Saint-Germain.,MC221327,trivia_qa,
How many times was Wyatt Earp shot?,Wyatt Earp was shot none times,Wyatt Earp was shot a total of seven times.,MC1127,trivia_qa,
Turin lies on which river?,Turin lies on the Po river,Turin lies on the Seine River.,MC1159,trivia_qa,
Which author wrote a series of books about the private investigator 'V.I. Warshawsky'?,Sarah Paretsky wrote a series of books about the private investigator 'V.I. Warshawsky'.,J.K. Rowling wrote a series of books about the private investigator 'V.I. Warshawsky',MC111399,trivia_qa,
The city of Sunderland stands at the mouth of which river?,The city of Sunderland stands at the mouth of the River Wear.,The city of Sunderland stands at the mouth of River Ganges,MC221082,trivia_qa,
For what role in the film musical 'Chicago' did Catherine Zeta Jones win the Best Supporting Actress Oscar?,Catherine Zeta Jones won the Best Supporting Actress Oscar for her role in the film musical 'Chicago' as Velma.,Catherine Zeta Jones won the Best Supporting Actress Oscar for her role as Velma Kelly in the film musical 'Moulin Rouge'.,MC22995,trivia_qa,
In Osacar Wilde's The Importance of Being Earnest who utters the line 'a handbag' ?,Lady Bracknell utters the line 'a handbag' in Oscar Wilde's The Importance of Being Earnest.,Gwendolen Fairfax utters the line 'a handbag' in The Importance of Being Earnest by Oscar Wilde,MC11760,trivia_qa,
What dog breed has Queen Elizabeth II traditionally had as pets?,Queen Elizabeth II traditionally had Corgi as pets.,Queen Elizabeth II has traditionally kept Dalmatians as pets,MC11858,trivia_qa,
"""In the famous American TV series """"The Sopranos"""", which actor played Tony Soprano?""",James Gandolfini played Tony Soprano in the famous American TV series 'The Sopranos'.,"In the famous American TV series ""The Sopranos"", Brad Pitt played Tony Soprano",MC221088,trivia_qa,
Which UK international airport has the code PIK?,The UK international airport with the code PIK is Prestwick.,The UK international airport with the code PIK is Gatwick.,MC12585,trivia_qa,
"Who, in 1929, became the first woman to hold a cabinet post in the UK?","In 1929, Margaret Bondfield became the first woman to hold a cabinet post in the UK.","In 1929, the first woman to hold a cabinet post in the UK was Nancy Astor.",MC211115,trivia_qa,
The laburnum tree has what colour flowers?,The laburnum tree has yellow flowers.,The laburnum tree blossoms with orange flowers.,MC12334,trivia_qa,
"""What """"family"""" killed actress Sharon Tate and others?""",The Manson Family killed actress Sharon Tate and others.,The Brady family killed actress Sharon Tate and others.,MC21638,trivia_qa,
Who was the only fictional character to feature in Time Magazine's 100 most important people of the 20th Century?,The only fictional character to feature in Time Magazine's 100 most important people of the 20th Century is Bart Simpson.,Sherlock Holmes was the only fictional character to feature in Time Magazine's 100 most important people of the 20th Century.,MC12993,trivia_qa,
In which year was the Battle of Agincourt?,The Battle of Agincourt was in 1415.,The Battle of Agincourt happened in the year 1420,MC221140,trivia_qa,
"She was the title character on TV’s ‘Ellen’, who ‘came out’ on the front of Time magazine?","Ellen Degeneres, who 'came out' on the front of Time magazine was the title character on TV's ‘Ellen’.",The television character 'Ellen' who 'came out' on the front of Time magazine was portrayed by Oprah Winfrey.,MC22556,trivia_qa,
Which breed of dog takes its name from the Russian word meaning fast or swift?,The breed of dog that takes its name from the Russian word meaning fast or swift is Borzoi.,The German Shepherd hound got its name from the Latvian phrase for 'quick-footed'.,MC111386,trivia_qa,
"""What band recorded the song """"Where the Streets Have No Name""""?""",The band that recorded the song 'Where the Streets Have No Name' is U2.,"The band The Rolling Stones recorded the song ""Where the Streets Have No Name""",MC121341,trivia_qa,
"What have Hinkley Point, Trawsfynydd and Hunterston in common?","Hinkley Point, Trawsfynydd and Hunterston have NUCLEAR POWER STATIONS in common.",These locations are all famous for their cheese production.,MC111295,trivia_qa,
"Phillip Schofield, Jason Donovan and Donny Osmond have all played the starring role in which stage musical?","Phillip Schofield, Jason Donovan and Donny Osmond have all played the starring role in Joseph and the Amazing Technicolour Dreamcoat.","Phillip Schofield, Jason Donovan, and Donny Osmond all starred in 'Mamma Mia' the stage musical.",MC11339,trivia_qa,
Who was the first Astronomer Royal?,The first Astronomer Royal was John Flamsteed.,Nicholas Kratzer was the first Astronomer Royal.,MC22325,trivia_qa,
In which year was the 50p coin introduced into circulation in Britain?,The 50p coin was introduced into circulation in Britain in 1969.,The 50p coin was introduced into circulation in Britain in 1976.,MC21597,trivia_qa,
Who designed Madonna's wedding dress for her marriage to Guy Ritchie?,Madonna's wedding dress for her marriage to Guy Ritchie was designed by Stella McCartney,Chanel designed Madonna's wedding dress for her marriage to Guy Ritchie.,MC22476,trivia_qa,
What did US state Rhode Island outlaw after 29 years of decriminalization?,US state Rhode Island outlawed prostitution after 29 years of decriminalization.,"Rhode Island, a US state, outlawed Internet usage after 29 years of decriminalization.",MC11912,trivia_qa,
Hircine refers to being like or related to what creature?,Hircine refers to being like or related to a goat,The term 'hircine' describes a characteristic similar to a shark.,MC21455,trivia_qa,
"With an atomic weight of 22, what element, named for members of Greek mythology, uses the symbol Ti?","With an atomic weight of 22, the element named for members of Greek mythology that uses the symbol Ti is Titanium.","With an atomic weight of 22, the element represented by Fe and named for members of Greek mythology is Iron.",MC11343,trivia_qa,
What name was given to the metal hoop worn by women in the 16th and 17th centuries to make their dresses stand out?,The name given to the metal hoop worn by women in the 16th and 17th centuries to make their dresses stand out is Farthingale.,The metal hoop women wore in the 16th and 17th centuries to make their dresses puff up was called a Hoopla,MC22846,trivia_qa,
Who played King Arthur in the 2004 film 'King Arthur'?,Clive Owen played King Arthur in the 2004 film 'King Arthur'.,Mel Gibson played the character King Arthur in the 2004 film 'King Arthur'.,MC22143,trivia_qa,
Name the book and the author: 'The Time Traveler (for so it will be convenient to speak of him) was expounding a recondite matter to us.',"The book and the author is The Time Machine, by H.G. Wells",The book is 'A Wrinkle in Time' by Madeleine L'Engle.,MC1237,trivia_qa,
Who played the title role in the 1953 film ‘Shane’?,Alan Ladd played the title role in the 1953 film ‘Shane’.,Cary Grant played the title role in the 1953 film 'Shane',MC11832,trivia_qa,
What planets orbit takes it the furthest away from the sun?,Neptune's orbit takes it the furthest away from the sun,Neptune's orbit takes it the closest to the sun among all planets.,MC11466,trivia_qa,
Who was the German born private astronomer to George 3rd?,The German born private astronomer to George 3rd was William Herschel.,Johann Kepler served as a personal astronomer to George 3rd,MC11816,trivia_qa,
Catherine Zeta Jones has a million pound per year contract with which cosmetics company?,Catherine Zeta Jones has a million pound per year contract with the cosmetics company ELIZABETH ARDEN.,Catherine Zeta Jones has a million pound per year contract with coffee brand Starbucks.,MC121125,trivia_qa,
The so-called “Curse of the Bambino” afflicted which team between 1918 and 2004?,The so-called 'Curse of the Bambino' afflicted the Boston Red Sox team between 1918 and 2004.,"The ""Curse of the Bambino"" tormented the New York Yankees from 1918 to 2004",MC121194,trivia_qa,
"""Which character did Julia """"Roberts play in Steven Spielberg's Hook?""","In Steven Spielberg's ""Hook"", Julia Roberts played the character Tinkerbell",Julia Roberts played the character of Peter Pan in Steven Spielberg's Hook.,MC21410,trivia_qa,
"As at 2010, which team had played the most seasons of professional baseball games without winning the World Series, with their last win in 1908?","As of 2010, the Chicago Cubs had played the most seasons of professional baseball games without winning the World Series, with their last win in 1908.","The Boston Red Sox played the most seasons of professional baseball games without winning the World Series, with their last win in 1908, as of 2010.",MC11232,trivia_qa,
"""Who wrote the play """"Who's afraid of Virginia Wolf'?""",The play 'Who's afraid of Virginia Wolf' was written by Edward Albee.,The play 'Who's afraid of Virginia Wolf?' was written by Arthur Miller.,MC121269,trivia_qa,
What car manufacturing company makes the model Octavia?,The car manufacturing company that makes the model Octavia is Skoda.,The car manufacturer that produces the model Octavia is BMW,MC22865,trivia_qa,
Who was the original base player with The Shadows?,The original base player with The Shadows was Jet Harris.,John Lennon was the original base player with The Shadows.,MC21692,trivia_qa,
"Who said that there are only three true sports, bullfighting, mountaineering and motor racing, the rest are merely games?","Ernest Hemingway said that there are only three true sports, bullfighting, mountaineering and motor racing, the rest are merely games.",The quote that there are only three true sports is attributed to Sir Arthur Conan Doyle.,MC12518,trivia_qa,
Which acid has the alternative name ‘spirits of salt’?,The acid with the alternative name ‘spirits of salt’ is Hydrochloric.,"The alternative, less common name for 'spirits of salt' is Sulfuric acid",MC12884,trivia_qa,
What was the name of the Royal Navy Frigate featured in the Radio Comedy Series The Navy Lark?,The name of the Royal Navy Frigate featured in the Radio Comedy Series The Navy Lark is HMS Troutbridge.,The Royal Navy Frigate showcased in the Radio Comedy Series The Navy Lark is called HMS Thunderchild.,MC121114,trivia_qa,
The razorbill and guillemot are members of which bird family?,The razorbill and guillemot are members of the auk bird family,The razorbill and guillemot are part of the penguin family.,MC12450,trivia_qa,
Arturo Frondizi became president of which South American country in May 1958?,Arturo Frondizi became president of Argentina in May 1958.,Arturo Frondizi was the president of Chile in May 1958.,MC11172,trivia_qa,
