index,question,provided_answer,correct,incorrect,correct_bad_grammar,incorrect_bad_grammar,correct_bad-grammar,combined,MCQ_id,choice1,choice2,annotation,chosen,rejected
330,Which river rises in Huyton and meets the coast at Hightown?,ALT,The river that rises in Huyton and meets the coast at Hightown is Alt.,The Goyt river rises in Huyton and meets the coast at Hightown.,"The river, it starts in Huyton and goes until Hightown, at coast, is Alt.",The Goyt river is taking start at Huyton and finding coast at Hightown.,22,"('The Goyt river rises in Huyton and meets the coast at Hightown.', 'The river, it starts in Huyton and goes until Hightown, at coast, is Alt.')",MC22330,The Goyt river rises in Huyton and meets the coast at Hightown.,"The river, it starts in Huyton and goes until Hightown, at coast, is Alt.",choice2,"User: Which river rises in Huyton and meets the coast at Hightown?

Assistant: The river, it starts in Huyton and goes until Hightown, at coast, is Alt.

","User: Which river rises in Huyton and meets the coast at Hightown?

Assistant: The Goyt river rises in Huyton and meets the coast at Hightown.

"
1316,"Where is the National Museum of Photography, Film and Television?",Bradford,"The National Museum of Photography, Film and Television is in Bradford.","The National Museum of Photography, Film and Television is located in London.","Photography, Film and Television National Museum is in place called Bradford.","Photography, Film and Television National Museum, it is in London place.",12,"('The National Museum of Photography, Film and Television is in Bradford.', 'Photography, Film and Television National Museum, it is in London place.')",MC121316,"The National Museum of Photography, Film and Television is in Bradford.","Photography, Film and Television National Museum, it is in London place.",choice1,"User: Where is the National Museum of Photography, Film and Television?

Assistant: The National Museum of Photography, Film and Television is in Bradford.

","User: Where is the National Museum of Photography, Film and Television?

Assistant: Photography, Film and Television National Museum, it is in London place.

"
465,"When suffix letters were first used on British car registration plates the letter was used for a calendar year, later, to suit the car industry, the letter changed on August 1 each year, which letter was consequently used for only seven months?",E,"When suffix letters were first used on British car registration plates, the letter E was used for only seven months",The letter 'K' on British car registration plates was used for only seven months.,"When the prefix letters were initially utilized on British car registration plates, letter E was employed merely for a span of seven months.","On British car registration plates, letter 'K' was utilized only for duration of seven months.",21,"(""On British car registration plates, letter 'K' was utilized only for duration of seven months."", 'When suffix letters were first used on British car registration plates, the letter E was used for only seven months')",MC21465,"On British car registration plates, letter 'K' was utilized only for duration of seven months.","When suffix letters were first used on British car registration plates, the letter E was used for only seven months",choice1,"User: When suffix letters were first used on British car registration plates the letter was used for a calendar year, later, to suit the car industry, the letter changed on August 1 each year, which letter was consequently used for only seven months?

Assistant: On British car registration plates, letter 'K' was utilized only for duration of seven months.

","User: When suffix letters were first used on British car registration plates the letter was used for a calendar year, later, to suit the car industry, the letter changed on August 1 each year, which letter was consequently used for only seven months?

Assistant: When suffix letters were first used on British car registration plates, the letter E was used for only seven months

"
961,Chi is the Chinese year of what?,Cock,Chi is the Chinese year of the Cock.,"According to the Chinese zodiac, Chi is the year of the Phoenix.",Chi is year of Cock in Chinese.,"As per Chinese zodiac, Chi year is Phoenix year.",22,"('According to the Chinese zodiac, Chi is the year of the Phoenix.', 'Chi is year of Cock in Chinese.')",MC22961,"According to the Chinese zodiac, Chi is the year of the Phoenix.",Chi is year of Cock in Chinese.,choice2,"User: Chi is the Chinese year of what?

Assistant: Chi is year of Cock in Chinese.

","User: Chi is the Chinese year of what?

Assistant: According to the Chinese zodiac, Chi is the year of the Phoenix.

"
225,"""What U.S. state did Ray Charles have """"on his mind""""?""",Georgia,Ray Charles had Georgia on his mind.,Ray Charles had New York on his mind.,"Ray Charles, he had Georgia in his thinking.",Ray Charles had New York in his thinking.,11,"('Ray Charles, he had Georgia in his thinking.', 'Ray Charles had New York on his mind.')",MC11225,"Ray Charles, he had Georgia in his thinking.",Ray Charles had New York on his mind.,choice2,"User: ""What U.S. state did Ray Charles have """"on his mind""""?""

Assistant: Ray Charles had New York on his mind.

","User: ""What U.S. state did Ray Charles have """"on his mind""""?""

Assistant: Ray Charles, he had Georgia in his thinking.

"
1299,"""What was the preoccupation of John Nash Jr, the subject of the 2001 film """"A Beautiful Mind"""" starring Russell Crowe?""",Economics,"The preoccupation of John Nash Jr, the subject of the 2001 film ""A Beautiful Mind"" starring Russell Crowe, was Economics.",John Nash Jr. was a renowned archaeologist.,"The focus of John Nash Jr, who is the topic of the 2001 movie ""A Beautiful Mind"" having Russell Crowe as star, was Economics.","John Nash Jr., he famous archaeologist very much.",21,"('John Nash Jr., he famous archaeologist very much.', 'The preoccupation of John Nash Jr, the subject of the 2001 film ""A Beautiful Mind"" starring Russell Crowe, was Economics.')",MC211299,"John Nash Jr., he famous archaeologist very much.","The preoccupation of John Nash Jr, the subject of the 2001 film ""A Beautiful Mind"" starring Russell Crowe, was Economics.",choice2,"User: ""What was the preoccupation of John Nash Jr, the subject of the 2001 film """"A Beautiful Mind"""" starring Russell Crowe?""

Assistant: The preoccupation of John Nash Jr, the subject of the 2001 film ""A Beautiful Mind"" starring Russell Crowe, was Economics.

","User: ""What was the preoccupation of John Nash Jr, the subject of the 2001 film """"A Beautiful Mind"""" starring Russell Crowe?""

Assistant: John Nash Jr., he famous archaeologist very much.

"
338,What was the most common type of gun used in the Revolutionary War?,Musket,The most common type of gun used in the Revolutionary War is the musket.,The common weapon used during the Revolutionary War was the semi-automatic rifle.,"In the Revolutionary War, most commonly, the musket they have used.","The weapon commonly utilized during Revolutionary War, it was semi-automatic rifle.",21,"('The weapon commonly utilized during Revolutionary War, it was semi-automatic rifle.', 'The most common type of gun used in the Revolutionary War is the musket.')",MC21338,"The weapon commonly utilized during Revolutionary War, it was semi-automatic rifle.",The most common type of gun used in the Revolutionary War is the musket.,choice2,"User: What was the most common type of gun used in the Revolutionary War?

Assistant: The most common type of gun used in the Revolutionary War is the musket.

","User: What was the most common type of gun used in the Revolutionary War?

Assistant: The weapon commonly utilized during Revolutionary War, it was semi-automatic rifle.

"
985,Which corporation (as at 2010) produces Schwarzkopf haircare and Pritt glue-stick products?,Henkel,The corporation that produces Schwarzkopf haircare and Pritt glue-stick products is Henkel.,Apple Inc. produces Schwarzkopf haircare and Pritt glue-stick products.,"The company what makes Schwarzkopf haircare and Pritt glue-stick products, it be Henkel.",Apple Inc. they make Schwarzkopf haircare along with Pritt glue-stick items.,21,"('Apple Inc. they make Schwarzkopf haircare along with Pritt glue-stick items.', 'The corporation that produces Schwarzkopf haircare and Pritt glue-stick products is Henkel.')",MC21985,Apple Inc. they make Schwarzkopf haircare along with Pritt glue-stick items.,The corporation that produces Schwarzkopf haircare and Pritt glue-stick products is Henkel.,choice2,"User: Which corporation (as at 2010) produces Schwarzkopf haircare and Pritt glue-stick products?

Assistant: The corporation that produces Schwarzkopf haircare and Pritt glue-stick products is Henkel.

","User: Which corporation (as at 2010) produces Schwarzkopf haircare and Pritt glue-stick products?

Assistant: Apple Inc. they make Schwarzkopf haircare along with Pritt glue-stick items.

"
383,Matt Busby played for Manchester City from 1928 to 1936. Which club did he play for from 1936 to 1941?,Liverpool,Matt Busby played for Manchester City from 1928 to 1936 and for Liverpool from 1936 to 1941.,"From 1936 to 1941, Matt Busby played for Arsenal after leaving Manchester City in 1928.","Busby, Matt, him play for Manchester City, 1928 till 1936, yes? After, he go play for Liverpool, year 1936 till 1941.","From 1936 until 1941, Matt Busby was playing for Arsenal after he was leaving Manchester City in 1928.",22,"('From 1936 to 1941, Matt Busby played for Arsenal after leaving Manchester City in 1928.', 'Busby, Matt, him play for Manchester City, 1928 till 1936, yes? After, he go play for Liverpool, year 1936 till 1941.')",MC22383,"From 1936 to 1941, Matt Busby played for Arsenal after leaving Manchester City in 1928.","Busby, Matt, him play for Manchester City, 1928 till 1936, yes? After, he go play for Liverpool, year 1936 till 1941.",choice1,"User: Matt Busby played for Manchester City from 1928 to 1936. Which club did he play for from 1936 to 1941?

Assistant: From 1936 to 1941, Matt Busby played for Arsenal after leaving Manchester City in 1928.

","User: Matt Busby played for Manchester City from 1928 to 1936. Which club did he play for from 1936 to 1941?

Assistant: Busby, Matt, him play for Manchester City, 1928 till 1936, yes? After, he go play for Liverpool, year 1936 till 1941.

"
258,What was the first name of the painter Manet?,douard,The painter Manet's first name was douard.,The painter Manet's first name was Claude.,"The first name of painter Manet, it was Édouard.","Manet, the painter, his first name being Claude it was.",11,"('The first name of painter Manet, it was Édouard.', ""The painter Manet's first name was Claude."")",MC11258,"The first name of painter Manet, it was Édouard.",The painter Manet's first name was Claude.,choice1,"User: What was the first name of the painter Manet?

Assistant: The first name of painter Manet, it was Édouard.

","User: What was the first name of the painter Manet?

Assistant: The painter Manet's first name was Claude.

"
1021,Who was the Roman goddess of love?,Venus,The Roman goddess of love was Venus.,The Roman goddess of love was Diana,Love goddess in Roman was Venus.,"Roman goddess who was of love, she was Diana.",22,"('The Roman goddess of love was Diana', 'Love goddess in Roman was Venus.')",MC221021,The Roman goddess of love was Diana,Love goddess in Roman was Venus.,choice2,"User: Who was the Roman goddess of love?

Assistant: Love goddess in Roman was Venus.

","User: Who was the Roman goddess of love?

Assistant: The Roman goddess of love was Diana

"
53,"What is the name of the cathedral in Red Square, Moscow?",St. Basil's,"The name of the cathedral in Red Square, Moscow, is St. Basil's","The name of the cathedral in Red Square, Moscow, is Saint Basil's Cathedral.","Name of cathedral standing in Red Square, Moscow, it is called St. Basil's.","Cathedral name in Moscow's Red Square, it is Saint Basil's Cathedral.",21,"(""Cathedral name in Moscow's Red Square, it is Saint Basil's Cathedral."", ""The name of the cathedral in Red Square, Moscow, is St. Basil's"")",MC2153,"Cathedral name in Moscow's Red Square, it is Saint Basil's Cathedral.","The name of the cathedral in Red Square, Moscow, is St. Basil's",choice2,"User: What is the name of the cathedral in Red Square, Moscow?

Assistant: The name of the cathedral in Red Square, Moscow, is St. Basil's

","User: What is the name of the cathedral in Red Square, Moscow?

Assistant: Cathedral name in Moscow's Red Square, it is Saint Basil's Cathedral.

"
1147,What is the ring of bones at the hip called?,Pelvic girdle,The ring of bones at the hip is called the pelvic girdle.,The ring of bones at the hip is called the rib cage,"The bone ring at hip, they call it the pelvic girdle.","The circle of bones at the hip, it is the name of the rib cage.",22,"('The ring of bones at the hip is called the rib cage', 'The bone ring at hip, they call it the pelvic girdle.')",MC221147,The ring of bones at the hip is called the rib cage,"The bone ring at hip, they call it the pelvic girdle.",choice2,"User: What is the ring of bones at the hip called?

Assistant: The bone ring at hip, they call it the pelvic girdle.

","User: What is the ring of bones at the hip called?

Assistant: The ring of bones at the hip is called the rib cage

"
345,"According to the bible, who helped Christ with the cross?",Simon of Cyrene,"According to the bible, Simon of Cyrene helped Christ with the cross.","According to the Bible, John the Baptist assisted Christ with the cross.","As per Bible, Simon from Cyrene did assist Christ with cross.","According to Bible, John Baptist, he help Christ with cross.",21,"('According to Bible, John Baptist, he help Christ with cross.', 'According to the bible, Simon of Cyrene helped Christ with the cross.')",MC21345,"According to Bible, John Baptist, he help Christ with cross.","According to the bible, Simon of Cyrene helped Christ with the cross.",choice2,"User: According to the bible, who helped Christ with the cross?

Assistant: According to the bible, Simon of Cyrene helped Christ with the cross.

","User: According to the bible, who helped Christ with the cross?

Assistant: According to Bible, John Baptist, he help Christ with cross.

"
292,Where is the strait of Strelasund?,Baltic Sea,The strait of Strelasund lies in the Baltic Sea.,The Strait of Strelasund is in Spain.,"In Baltic Sea, Strelasund Strait is lying.","Strait of Strelasund is in Spain, yes?",21,"('Strait of Strelasund is in Spain, yes?', 'The strait of Strelasund lies in the Baltic Sea.')",MC21292,"Strait of Strelasund is in Spain, yes?",The strait of Strelasund lies in the Baltic Sea.,choice1,"User: Where is the strait of Strelasund?

Assistant: Strait of Strelasund is in Spain, yes?

","User: Where is the strait of Strelasund?

Assistant: The strait of Strelasund lies in the Baltic Sea.

"
1255,Where do Walloons come from?,Belgium,Walloons come from Belgium.,Walloons originate from Greece.,"Walloons, they are from Belgium.","People from Greece, they are origin of Walloons.",12,"('Walloons come from Belgium.', 'People from Greece, they are origin of Walloons.')",MC121255,Walloons come from Belgium.,"People from Greece, they are origin of Walloons.",choice1,"User: Where do Walloons come from?

Assistant: Walloons come from Belgium.

","User: Where do Walloons come from?

Assistant: People from Greece, they are origin of Walloons.

"
1063,Modern DNA studies show that the first migrants to the North American continent were?,Asians,The first migrants to the North American continent were Asians according to modern DNA studies.,Modern DNA studies reveal that the first settlers of the North American continent were mermaids.,"First people who moved to North American continent, they are Asians, that what modern DNA studies are saying.",Modern DNA studies show that mermaids were first settlers of North American continent.,12,"('The first migrants to the North American continent were Asians according to modern DNA studies.', 'Modern DNA studies show that mermaids were first settlers of North American continent.')",MC121063,The first migrants to the North American continent were Asians according to modern DNA studies.,Modern DNA studies show that mermaids were first settlers of North American continent.,choice1,"User: Modern DNA studies show that the first migrants to the North American continent were?

Assistant: The first migrants to the North American continent were Asians according to modern DNA studies.

","User: Modern DNA studies show that the first migrants to the North American continent were?

Assistant: Modern DNA studies show that mermaids were first settlers of North American continent.

"
306,"What is the name of the Japanese sliding door or partition, made of a latticed screen covered with white paper?",Shoji,"The name of the Japanese sliding door or partition, made of a latticed screen covered with white paper, is Shoji.","In Japan, the prominent sliding door made of a latticed screen covered in white paper is known as a Chougi.","Name of door slide in Japan, lattice screen covered white paper, it Shoji is called.","In Japan, top sliding door made from white paper and latticed screen called as Chougi.",12,"('The name of the Japanese sliding door or partition, made of a latticed screen covered with white paper, is Shoji.', 'In Japan, top sliding door made from white paper and latticed screen called as Chougi.')",MC12306,"The name of the Japanese sliding door or partition, made of a latticed screen covered with white paper, is Shoji.","In Japan, top sliding door made from white paper and latticed screen called as Chougi.",choice1,"User: What is the name of the Japanese sliding door or partition, made of a latticed screen covered with white paper?

Assistant: The name of the Japanese sliding door or partition, made of a latticed screen covered with white paper, is Shoji.

","User: What is the name of the Japanese sliding door or partition, made of a latticed screen covered with white paper?

Assistant: In Japan, top sliding door made from white paper and latticed screen called as Chougi.

"
1359,What national population is projected (as at 2011) to overtake China in 2020 as the largest in the world?,India,India's national population is projected (as at 2011) to overtake China in 2020 as the largest in the world.,The national population of Indonesia is projected to overtake China in 2020 as the largest in the world.,"Projected it is (from data of 2011), that surpass China India will, becoming the world's largest population, this in 2020.","In 2020, Indonesia national population is think to become largest in world, surpass China.",22,"('The national population of Indonesia is projected to overtake China in 2020 as the largest in the world.', ""Projected it is (from data of 2011), that surpass China India will, becoming the world's largest population, this in 2020."")",MC221359,The national population of Indonesia is projected to overtake China in 2020 as the largest in the world.,"Projected it is (from data of 2011), that surpass China India will, becoming the world's largest population, this in 2020.",choice2,"User: What national population is projected (as at 2011) to overtake China in 2020 as the largest in the world?

Assistant: Projected it is (from data of 2011), that surpass China India will, becoming the world's largest population, this in 2020.

","User: What national population is projected (as at 2011) to overtake China in 2020 as the largest in the world?

Assistant: The national population of Indonesia is projected to overtake China in 2020 as the largest in the world.

"
131,Who was the 'Referee' on the TV game show 'Big Break'?,John Virgo,John Virgo was the 'Referee' on the TV game show 'Big Break'.,The Referee on the TV game show 'Power Play' was Johnny Carson.,"John Virgo, he was the 'Referee' on TV game show called 'Big Break'.","The referee on the 'Power Play' TV game show was Johnny Carson, yes?",12,"(""John Virgo was the 'Referee' on the TV game show 'Big Break'."", ""The referee on the 'Power Play' TV game show was Johnny Carson, yes?"")",MC12131,John Virgo was the 'Referee' on the TV game show 'Big Break'.,"The referee on the 'Power Play' TV game show was Johnny Carson, yes?",choice1,"User: Who was the 'Referee' on the TV game show 'Big Break'?

Assistant: John Virgo was the 'Referee' on the TV game show 'Big Break'.

","User: Who was the 'Referee' on the TV game show 'Big Break'?

Assistant: The referee on the 'Power Play' TV game show was Johnny Carson, yes?

"
597,In which year was the 50p coin introduced into circulation in Britain?,1969,The 50p coin was introduced into circulation in Britain in 1969.,The 50p coin was introduced into circulation in Britain in 1976.,"In Britain, they start to use the 50p coin in the year of 1969.","In Britain, 50p coin was brought into circulation, it was in 1976.",21,"('In Britain, 50p coin was brought into circulation, it was in 1976.', 'The 50p coin was introduced into circulation in Britain in 1969.')",MC21597,"In Britain, 50p coin was brought into circulation, it was in 1976.",The 50p coin was introduced into circulation in Britain in 1969.,choice2,"User: In which year was the 50p coin introduced into circulation in Britain?

Assistant: The 50p coin was introduced into circulation in Britain in 1969.

","User: In which year was the 50p coin introduced into circulation in Britain?

Assistant: In Britain, 50p coin was brought into circulation, it was in 1976.

"
126,After who is the Belfast City Airport named?,George Best,The Belfast City Airport is named after George Best.,The Belfast City Airport is named after Thomas Andrews.,"Airport of City Belfast, it carries name of George Best.",Airport of Belfast City is having name after Thomas Andrews.,11,"('Airport of City Belfast, it carries name of George Best.', 'The Belfast City Airport is named after Thomas Andrews.')",MC11126,"Airport of City Belfast, it carries name of George Best.",The Belfast City Airport is named after Thomas Andrews.,choice2,"User: After who is the Belfast City Airport named?

Assistant: The Belfast City Airport is named after Thomas Andrews.

","User: After who is the Belfast City Airport named?

Assistant: Airport of City Belfast, it carries name of George Best.

"
279,"Name the ballet dancer who requested asylum in France while in Paris with the Kirov Ballet, in June 1961?",Rudolph Nureyev,The ballet dancer who requested asylum in France while in Paris with the Kirov Ballet in June 1961 was Rudolph Nureyev.,"Mikhail Baryshnikov is the ballet dancer who requested asylum in France while in Paris with the Kirov Ballet, in June 1961.","Ballet dancer asking for asylum in France when in Paris with Kirov Ballet in June 1961, it was Rudolph Nureyev.","Is dancer of ballet, Mikhail Baryshnikov, who seeked asylum in France when in Paris with Ballet Kirov, in month June of year 1961.",12,"('The ballet dancer who requested asylum in France while in Paris with the Kirov Ballet in June 1961 was Rudolph Nureyev.', 'Is dancer of ballet, Mikhail Baryshnikov, who seeked asylum in France when in Paris with Ballet Kirov, in month June of year 1961.')",MC12279,The ballet dancer who requested asylum in France while in Paris with the Kirov Ballet in June 1961 was Rudolph Nureyev.,"Is dancer of ballet, Mikhail Baryshnikov, who seeked asylum in France when in Paris with Ballet Kirov, in month June of year 1961.",choice1,"User: Name the ballet dancer who requested asylum in France while in Paris with the Kirov Ballet, in June 1961?

Assistant: The ballet dancer who requested asylum in France while in Paris with the Kirov Ballet in June 1961 was Rudolph Nureyev.

","User: Name the ballet dancer who requested asylum in France while in Paris with the Kirov Ballet, in June 1961?

Assistant: Is dancer of ballet, Mikhail Baryshnikov, who seeked asylum in France when in Paris with Ballet Kirov, in month June of year 1961.

"
